UUID,Concat,Concat_Tokenized
4ce53182-51c4-4eab-81ea-feae460057f2,Beamsville District SS4317 Central Ave School,"[""Beamsville"", ""District"", ""SS"", ""4317"", ""Central"", ""Ave"", ""School""]"
2f303950-0653-48a1-86fb-8017060b0268,Central PS10 Livingston Ave School,"[""Central"", ""PS"", ""10"", ""Livingston"", ""Ave"", ""School""]"
72e76ffc-5b0f-4906-b64a-84b5049c9815,Cherrywood Acres PS4635 Pettit Ave School,"[""Cherrywood"", ""Acres"", ""PS"", ""4635"", ""Pettit"", ""Ave"", ""School""]"
da35c437-21bc-4af7-a76a-4416b3250a00,College Street PS - sold 12Aug21132 College St School,"[""College"", ""Street"", ""PS"", ""-"", ""sold"", ""12"", ""Aug"", ""21132"", ""College"", ""St"", ""School""]"
0a628bad-8aa4-4fa1-b8ff-d4894d7ebb2f,A K Wigg PS1337 Haist St School,"[""A"", ""K"", ""Wigg"", ""PS"", ""1337"", ""Haist"", ""St"", ""School""]"
51c0ae5e-2771-4640-9e7d-942d36d30301,A N Myer SS6338 O'Neil St School,"[""A"", ""N"", ""Myer"", ""SS"", ""6338"", ""O"", ""'"", ""Neil"", ""St"", ""School""]"
7c69b630-51f0-430e-9643-c35edf9b5607,Burleigh Hill PS15 Burleigh Hill Dr School,"[""Burleigh"", ""Hill"", ""PS"", ""15"", ""Burleigh"", ""Hill"", ""Dr"", ""School""]"
5ddbc730-88da-4142-9e8d-2075c3a96990,Caistor Central PS1794 Regional Rd 6 School,"[""Caistor"", ""Central"", ""PS"", ""1794"", ""Regional"", ""Rd"", ""6"", ""School""]"
bc97f33c-b83e-4d76-b03f-9209d6527237,Carleton PS1 Carlton Park Dr School,"[""Carleton"", ""PS"", ""1"", ""Carlton"", ""Park"", ""Dr"", ""School""]"
26810f3c-3fdd-4b6f-adea-0a7b8bfda63e,Connaught PS28 Prince St School,"[""Connaught"", ""PS"", ""28"", ""Prince"", ""St"", ""School""]"
8549ff2d-944b-462b-a005-a95e4daaee5b,Crossroads PS1350 Niagara Stone Rd School,"[""Crossroads"", ""PS"", ""1350"", ""Niagara"", ""Stone"", ""Rd"", ""School""]"
18f763fb-9e8b-4a62-91eb-df22ce52b8c2,Dalewood PS61 Duncan Dr School,"[""Dalewood"", ""PS"", ""61"", ""Duncan"", ""Dr"", ""School""]"
ea90bb52-b07e-46b3-92cf-f05112924340,DeWitt Carter PS435 Fares St School,"[""DeWitt"", ""Carter"", ""PS"", ""435"", ""Fares"", ""St"", ""School""]"
9b81c5b3-00da-4edf-b8a8-e5e83092d06b,Diamond Trail PS315 Southworth St S School,"[""Diamond"", ""Trail"", ""PS"", ""315"", ""Southworth"", ""St"", ""S"", ""School""]"
c2c1bbfd-58c3-40c0-8592-740e453b161a,DSBN Academy130 Louth St School,"[""DSBN"", ""Academy"", ""130"", ""Louth"", ""St"", ""School""]"
1a516a34-58e3-4ac3-a633-32e9dd36ba73,"Eden HS535 Lake St, Bldg 1 School","[""Eden"", ""HS"", ""535"", ""Lake"", ""St"", """", ""Bldg"", ""1"", ""School""]"
414f8a72-3022-48df-95f0-8789f33db9e4,Edith Cavell PS1 Monck St School,"[""Edith"", ""Cavell"", ""PS"", ""1"", ""Monck"", ""St"", ""School""]"
2c61b078-a0f6-4b14-855d-d5e6c474b0a8,Education Centre191 Carlton St Administrative offices and related facilities,"[""Education"", ""Centre"", ""191"", ""Carlton"", ""St"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
7d69ac2c-5c88-4c71-95f6-d7ab7cd8a164,Gainsborough PS5459 Hwy 20 School,"[""Gainsborough"", ""PS"", ""5459"", ""Hwy"", ""20"", ""School""]"
